Key,pt_BR,de_DE,es_ES,fr_FR,en_US
P_SONS,Sons,Klänge,Sonidos,Sons,Sounds
P_MUSICA,Música,Musik,Música,Musique,Music
P_BORDA CARTA,Borda carta,Kartenrahmen,Borde de la carta,Bord de la carte,Card border
P_FUNDO,Fundo,Hintergrund,Fondo,Fond,Background
P_NIVEL,Nível,Niveau,Nivel,Niveau,Level
P_MESAS,Mesas,Tische,Mesas,Tables,Tables
P_JOGAR,Jogar,Spielen,Jugar,Jouer,Play
P_EM BREVE !!!,Em breve !!!,Bald verfügbar!,¡Próximamente!,Bientôt !,Coming soon!
P_INICIANTE,Iniciante,Anfänger,Principiante,Débutant,Beginner
P_EXPERIENTE,Experiente,Erfahren,Experimentado,Expérimenté,Experienced
P_PROFISSIONAL,Profissional,Professionell,Profesional,Professionnel,Professional
P_GENIO,Gênio,Genie,Genio,Génie,Genius
P_TROCA,Troca,Austausch,Intercambio,Échange,Exchange
P_TROCAR,Trocar,Wechseln,Cambiar,Changer,Switch
P_NOME,Nome,Name,Nombre,Nom,Name
P_JOGOS,Jogos,Spiele,Juegos,Jeux,Games
P_TAXA DE VITORIAS,Taxa de Vitórias,Gewinnrate,Tasa de Victorias,Taux de Victoires,Win Rate
P_TROFEUS,Troféus,Trophäen,Trofeos,Trophées,Trophies
P_INFORMACOES,Informações,Informationen,Información,Informations,Information
P_EDITAR,Editar,Bearbeiten,Editar,Modifier,Edit
P_BORDA,Borda,Rahmen,Borde,Bordure,Border
P_ICONE,Ícone,Symbol,Ícono,Icône,Icon
P_ATUAL,Atual,Aktuell,Actual,Actuel,Current
P_COMPRAR VIP,Comprar VIP,VIP kaufen,Comprar VIP,Acheter VIP,Buy VIP
P_SALVAR,Salvar,Speichern,Guardar,Enregistrer,Save
P_EX NOVO NOME,Ex: Novo Nome,Beispiel: Neuer Name,Ej: Nuevo Nombre,Exemple : Nouveau Nom,Example: New Name
P_INFO_SAIRPT,Abandonar partida?,Spiel verlassen?,¿Abandonar partida?,Abandonner la partie?,Abandon game?
P_CANCELAR,Cancelar,Abbrechen,Cancelar,Annuler,Cancel
P_SAIR,Sair,Verlassen,Salir,Quitter,Exit
P_LEAO,Leão,Löwe,León,Lion,Lion
P_GIRAFA,Girafa,Giraffe,Jirafa,Girafe,Giraffe
P_LOBO,Lobo,Wolf,Lobo,Loup,Wolf
P_PINGUIM,Pinguim,Pinguin,Pingüino,Pingouin,Penguin
P_ELEFANTE,Elefante,Elefant,Elefante,Éléphant,Elephant
P_PUMA,Puma,Puma,Puma,Puma,Puma
P_GORILA,Gorila,Gorilla,Gorila,Gorille,Gorilla
P_COELHO,Coelho,Hase,Conejo,Lapin,Rabbit
P_CANGURU,Canguru,Känguru,Canguro,Kangourou,Kangaroo
P_AGUIA,Águia,Adler,Águila,Aigle,Eagle
P_ZEBRA,Zebra,Zebra,Cebra,Zèbre,Zebra
P_HIPOPOTAMO,Hipopótamo,Flusspferd,Hipopótamo,Hippopotame,Hippopotamus
P_CROCODILO,Crocodilo,Krokodil,Cocodrilo,Crocodile,Crocodile
P_VITORIA,Vitória,Sieg,Victoria,Victoire,Victory
P_DERROTA,Derrota,Niederlage,Derrota,Défaite,Defeat
P_JOGAR OUTRA,Jogar outra,Ein anderes spielen,Jugar otra vez,Rejouer,Play Again
P_INICIAR,Iniciar,Starten,Iniciar,Démarrer,Start
P_LINGUA,Língua,Sprache,Idioma,Langue,Language
P_INFO_ATUALIZ,Nome atualizado !!!,Name aktualisiert !!!,¡Nombre actualizado!!!,Nom mis à jour !!!,Name Updated!!!
P_INFO_ATUABORD,BORDA atualizada !!!,Aktualisierte Karte !!!,¡Borde actualizado!!!,Bord mis à jour !!!,Updated Border!!!
P_SALDOINSU,Saldo insuficiente !!!,Nicht ausreichendes Guthaben !!!,¡Saldo insuficiente!!!,Solde insuffisant !!!,Insufficient Balance!!!
P_MESASELEC,Mesa selecionada !!!,Ausgewählter Tisch !!!,Mesa seleccionada !!!,Table sélectionnée !!!,Table Selected!!!
P_BATER,Bater,Schlagen,Golpear,Frapper,Hit
P_DISCART,Descarte,Ablegen,Descartar,Défausser,Discard
P_ENTRAR,Entrar,Eintreten,Entrar,Entrer,Enter
P_CRIAR,Criar,Erstellen,Crear,Créer,Create
P_SENHAR,Senha,Passwort,Contraseña,Mot de passe,Password
P_CONFIRME,Confirme,Bestätigen,Confirmar,Confirmer,Confirm
P_EMAIL,Email,Email,Email,Email,Email
